time,value
0,0.24835707650561634
1,-0.019152981314913997
2,0.4236776856971744
3,0.910953060677612
4,0.08159264343339323
5,0.13033548077993268
6,1.0851266144150353
7,0.7266151720319058
8,0.15468114934117447
9,0.7062455559042126
10,0.24771669219797188
11,0.28982235214553076
12,0.6856236091780525
13,-0.3514537165928594
14,-0.21824122901882526
15,0.4004949954028478
16,0.2109405307323109
17,0.9084040714379297
18,0.32931487186687797
19,0.107263654121728
20,1.5742953692686736
21,0.7545350753507492
22,0.9249714624053973
23,0.2003898471537927
24,0.6598477237046351
25,1.0044459142105193
26,0.38806139670604156
27,1.163572366999495
28,0.6851303850290578
29,0.8468661161409501
30,0.696641680489356
31,1.925922856443826
32,0.9928249906725382
33,0.4680095639759687
34,1.4029372665040631
35,0.3735641218884258
36,1.0782794283805728
37,-0.018559858964587894
38,0.2822070632381992
39,1.027390332938431
40,1.2785307168233868
41,0.9730465092283604
42,0.8053852254547534
43,0.6863469430038533
44,0.0692354086358764
45,0.4181510926905669
46,0.5153858266968263
47,1.2400344659003022
48,0.8472723253353813
49,-0.24375537554686333
50,0.7605141288013539
51,0.3651425771832584
52,0.1770403716684848
53,0.7778686857103162
54,0.9428796414818053
55,0.847301051610431
56,-0.08462061145541461
57,0.1328718244169371
58,0.40488104491576393
59,0.6781952109222067
60,-0.09846711086277776
61,-0.0013648460994718087
62,-0.5115868245697236
63,-0.6065105594074844
64,0.34788876776951894
65,0.5699248797553031
66,-0.1937507549334156
67,0.29486447727261234
68,-0.0747230895030146
69,-0.6261013900109915
70,-0.17008542493541287
71,0.3718701159470244
72,-0.4604334628498282
73,0.29553517925130335
74,-1.8397086929533657
75,-0.1606100665547318
76,-0.5683343568236336
77,-0.8001288122981011
78,-0.6418857709162229
79,-1.7169725813869585
80,-0.8666384392266842
81,-0.6099689686703218
82,-0.07933008869365277
83,-1.1051188102122702
84,-1.275822573860182
85,-1.1458678800208517
86,-0.45846487789841783
87,-0.7706770227286072
88,-1.2164821757730355
89,-0.7091393440639608
90,-0.9289913429910768
91,-0.502521363236792
92,-1.3447175505721407
93,-1.1618855120577636
94,-1.1959773341301796
95,-1.7310502630414373
96,-0.8481044703035525
97,-0.8600188998767685
98,-0.979895884303102
99,-1.0891966360893943
100,-1.6666096456883457
101,-1.1538713300185859
102,-1.097171940591117
103,-1.306905276079514
104,-0.9640975115531577
105,-0.6569090650193228
106,0.11082550838136429
107,-0.7162312494362358
108,-0.643989292194605
109,-0.777300268371978
110,-1.6649259332199127
111,-0.6824967950008698
112,-0.6011515329018077
113,0.6399054756116337
114,-0.6468660249881988
115,-0.35750540633245204
116,-0.4819580642663782
117,-1.0041030366496249
118,0.19753474242727426
119,0.04891170147364643
120,0.1161004753225976
121,-0.6857715156967609
122,0.5192346511959546
123,-0.8337174402486571
124,0.21033914408263876
125,1.0620485963574324
126,-0.47845426208099356
127,-0.2163838732798296
128,0.16637488739431425
129,-0.0856957211931424
130,-0.5602117274452508
131,0.2979416697757929
132,-0.21961049334967375
133,0.5954400688103911
134,-0.05486219650030327
135,1.2250112762893872
136,0.1024867049704904
137,0.375916844345174
138,0.9851983730730349
139,0.003053969946046342
140,0.7707165660208538
141,1.3474163220709783
142,-0.07477257715473729
143,0.8545880216275633
144,0.9236092609733648
145,1.2139923149001608
146,0.23196126518952387
147,0.21543840705074446
148,1.1596788786200758
149,1.0679955124455638
150,1.0632464019476773
151,1.127376371028003
152,0.6279073112422411
153,1.0953946312667018
154,1.134704470526341
155,0.6374230700979922
156,1.9314306009469833
157,1.2369085337618126
158,0.4032895932384477
159,1.3236705815745347
160,0.5020174115097211
161,1.3743921374916255
162,1.5491876003487883
163,0.5461644074756539
164,1.4224186213019334
165,1.1289946737075893
166,1.3132019137535382
167,1.8278809888578387
168,0.7319048500868452
169,0.45070918426323825
170,0.3537298978107286
171,0.3594960143847681
172,0.6958462431670612
173,0.8701334160109899
174,0.8013146297471916
175,1.0383155782722042
176,0.5914181388307153
177,1.2704154822447467
178,0.3686924398389066
179,1.8172255613299637
180,0.7249521591242597
181,-0.06251286734573025
182,-0.21634788668120403
183,0.5125694417352253
184,0.11115852143732047
185,0.5308897324264795
186,0.3610732357938341
187,0.03829383406109839
188,-0.39862143358084473
189,-0.7826429774865928
190,-0.2984085964953198
191,0.30330436004498385
192,-0.06727990915787942
193,-0.8461921885197778
194,-0.18517016348535317
195,-0.12686050375785526
196,-0.8084078473524949
197,-0.33566050494433036
198,-0.4284315345523214
199,-1.0728902770945106
200,-0.36512743071522813
201,-0.30488506095891915
202,-0.08354502730524493
203,-0.13640059653354653
204,-1.388709371572089
205,-1.2036109503623569
206,-0.5101681761592526
207,-0.541861398944897
208,-0.5703026259326298
209,1.071536316606077
210,-0.5942505046250866
211,-0.3345804898685242
212,-0.4457745398662062
213,-0.6151854496320088
214,-1.1142696385903612
215,-0.5905132576740448
216,-1.3673488373352773
217,-1.1078320658688559
218,-1.2381180272209291
219,-0.9580246022006557
220,0.15733907678605086
221,-1.9321518827719193
222,-0.6514224930167323
223,-1.7944579620092238
224,-1.2151436620460336
225,-0.4233326990275784
226,-0.9218792403543576
227,-1.476718339976435
228,-1.2769803802946598
229,-0.55871438331311
230,-1.240635490546997
231,-0.7419736222953789
232,-0.8000426750168009
233,-1.1191978036873855
234,0.30998846074363073
235,-0.41170546466816443
236,-1.706096378105926
237,-0.5634245848113002
238,-0.9490303446212273
239,-0.15186079401893166
240,-0.9328332872167853
241,-0.551095442464047
242,-0.1971538250443713
243,0.02843377423592064
244,-0.9583774857647152
245,-0.4783699729016015
246,-0.500704446946279
247,-0.5413509016473829
248,0.717122944692239
249,0.08638271413802108
250,-0.6967638745187232
251,0.4425610903710467
252,1.0947011457274551
253,0.5997645677666816
